SVC_NUM,DIR,ROUT_SEQ,BS_CODE,DISTANCE
171,1,9,48069,5.9
171,1,10,48059,6.4
171,1,11,48049,7.4
171,1,12,48039,8.1
171,1,13,48029,8.5
171,1,14,48019,9
171,1,15,BKE,-
171,1,16,44269,14
171,1,17,44229,14.4
171,1,18,44219,14.7
171,1,19,44209,15
171,1,20,44631,15.5
171,1,21,44259,15.7
171,1,22,44029,16
171,1,23,44019,16.2
171,1,24,43119,16.5
171,1,25,43109,16.9
171,1,26,43089,17.2
171,1,27,43069,17.7
171,1,28,43059,18.1
171,1,29,43049,18.5
171,1,30,43029,19
171,1,31,43019,19.4
171,1,32,42119,19.8
171,1,33,42109,20.3
171,1,34,42089,20.7
171,1,35,42059,21.3
171,1,36,42049,21.6
171,1,37,42039,22
171,1,38,42029,22.5
171,1,39,42019,23
171,1,40,41089,23.5
171,1,41,41079,23.9
171,1,42,41069,24.5
171,1,43,41049,24.9
171,1,44,41029,25.6
171,1,45,41019,26.1
171,1,46,40099,26.5
171,1,47,40089,27
171,1,48,40079,27.3
171,1,49,40119,27.6
171,1,50,40069,27.8
171,1,51,40059,28.1
171,1,52,40049,28.5
171,1,53,40189,28.9
171,1,54,40179,29.1
171,1,55,9219,29.9
171,1,56,9047,30.3
171,1,57,9037,30.8
171,1,58,8138,31.5
171,1,59,8057,31.9
171,1,60,8069,32.4
171,1,61,4179,32.7
171,1,62,2049,33.1
171,1,63,2089,33.8
171,2,1,2099,0
171,2,2,2101,0.4
171,2,3,2051,0.8
171,2,4,2061,1.1
171,2,5,4111,1.8
171,2,6,4121,2.2
171,2,7,8041,2.5
171,2,8,8031,2.8
171,2,9,8111,3.3
171,2,10,8121,3.6
171,2,11,E0902,-
171,2,12,E0901,-
171,2,13,9011,4.3
171,2,14,9023,4.6
171,2,15,9212,5.2
171,2,16,40171,5.8
171,2,17,40181,6.1
171,2,18,40041,6.4
171,2,19,40051,6.7
171,2,20,40111,7.1
171,2,21,40071,7.5
171,2,22,40081,7.9
171,2,23,40091,8.1
171,2,24,41011,8.6
171,2,25,41021,9
171,2,26,41031,9.4
171,2,27,41041,9.6
171,2,28,41051,10
171,2,29,41061,10.2
171,2,30,41071,10.6
171,2,31,41081,11.1
171,2,32,42011,11.5
171,2,33,42021,11.8
171,2,34,42031,12.1
171,2,35,42041,12.5
171,2,36,42051,13
171,2,37,42061,13.3
